Running float version...

Testing matrix size: 91 
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(E)     float   x64     00001   00836   0,5984  1,0242
Java_ver(E)     float   x64     00002   00836   0,7573  1,2961
Java_ver(E)     float   x64     00003   00836   0,7467  1,2780
Java_ver(E)     float   x64     00004   00836   0,7391  1,2650
Java_ver(F)     float   x64     00000   00836   0,5945  1,0175
Java_ver(F)     float   x64     00001   00836   0,5855  1,0021
Java_ver(F)     float   x64     00002   00836   0,7588  1,2986
Java_ver(F)     float   x64     00003   00836   0,7543  1,2909
Java_ver(F)     float   x64     00004   00836   0,7162  1,2258

Testing matrix size: 1182
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     float   x64     00000   01182   1,1709  0,7090
Java_ver(A)     float   x64     00001   01182   1,1290  0,6837
Java_ver(A)     float   x64     00002   01182   1,1930  0,7224
Java_ver(A)     float   x64     00003   01182   1,2470  0,7551
Java_ver(A)     float   x64     00004   01182   1,3118  0,7944
Java_ver(B)     float   x64     00000   01182   1,1826  0,7161
Java_ver(B)     float   x64     00001   01182   1,1909  0,7211
Java_ver(B)     float   x64     00002   01182   1,3123  0,7946
Java_ver(B)     float   x64     00003   01182   1,2884  0,7802
Java_ver(B)     float   x64     00004   01182   1,2917  0,7822
Java_ver(C)     float   x64     00000   01182   0,5338  0,3232
Java_ver(C)     float   x64     00001   01182   0,5363  0,3248
Java_ver(C)     float   x64     00002   01182   0,4629  0,2803
Java_ver(C)     float   x64     00003   01182   0,4562  0,2762
Java_ver(C)     float   x64     00004   01182   0,4756  0,2880
Java_ver(D)     float   x64     00000   01182   0,5112  0,3095
Java_ver(D)     float   x64     00001   01182   0,4696  0,2844
Java_ver(D)     float   x64     00002   01182   0,4757  0,2880
Java_ver(D)     float   x64     00003   01182   0,5082  0,3078
Java_ver(D)     float   x64     00004   01182   0,4819  0,2918
Java_ver(E)     float   x64     00000   01182   3,7944  2,2977
Java_ver(E)     float   x64     00001   01182   3,8079  2,3059
Java_ver(E)     float   x64     00002   01182   3,5053  2,1227
Java_ver(E)     float   x64     00003   01182   3,5817  2,1689
Java_ver(E)     float   x64     00004   01182   3,9825  2,4116
Java_ver(F)     float   x64     00000   01182   4,2169  2,5535
